Tofu and Veggie Soup - No.29 - test
Burdock
Taro(potato)
Shiitake mushroom
Komatsuna
Carrot
Radish
Green onion
Small green onion
Firm tofu
Deep fried tofu
Happou sauce
Shirodashi
Chili pepper
Sesami oil
Salt
Water

Chicken and Tomato with Eggplant - No.2
Chicken boiled
Potato
Onion
Pepper green
Tomato canned
Tomato paste
Chicken stock cubes
Maple syrup
Olive oil
Flour
Sugar
Salt
Milk
Eggplant
Onion
Almond
Onion dressing
Olive oil
Salt
Rice
