5c8ab272030a383297e72658
Date,Meal Type,Meal Name,Limiting nutrition,Prioritized nutrtion,Meal provider,Nutrition
Day 1,meal_1,chana masala with indian spiced rice,[u'insoluble fiber'],[],Euphebe,"{u'moly': u'0.68 mcg', u'cals': u'58.81 kcal', u'iodine': u'0.0 mcg', u'insoluble fiber': u'1.05 g', u'vit d-iu': u'0.0 iu', u'alc': u'0.0 g', u'zinc': u'0.15 mg', u'caff': u'0.0 mg', u'folate': u'7.32 mcg', u'transfat': u'0.0 g', u'sodium': u'17.88 mg', u'polyfat': u'0.05 g', u'prot': u'1.91 g', u'totsolfib': u'0.06 g', u'sugar': u'0.7 g', u'calc': u'12.48 mg', u'disacc': u'0.64 g', u'vit a-rae': u'14.86 mcg', u'monsac': u'0.05 g', u'vit d-mcg': u'0.0 mcg', u'fatcals': u'5.45 kcal', u'biot': u'0.0 mcg', u'caroten': u'29.72 mcg', u'totfib': u'1.11 g', u'betacaro': u'173.23 mcg', u'potassium': u'34.49 mg', u'ocarb': u'0.8 g', u'vit b3': u'1.24 mg', u'vit b2': u'0.02 mg', u'vit b1': u'0.04 mg', u'vit b6': u'0.01 mg', u'fat': u'0.61 g', u'water': u'10.99 g', u'vit b12': u'0.0 mcg', u'copp': u'0.02 mg', u'panto': u'0.07 mg', u'sel': u'0.3 mcg', u'magn': u'6.33 mg', u'vit e-a-toco': u'0.03 mg', u'satfat': u'0.11 g', u'carb': u'11.65 g', u'wgt': u'26.71 g', u'vit a-iu': u'297.14 iu', u'chrom': u'0.0 mcg', u'vit b3-ne': u'1.33 mg', u'retinol': u'0.0 mcg', u'vit c': u'2.53 mg', u'vit k': u'3.85 mcg', u'fol_dfe': u'7.32 mcg dfe', u'fluor': u'0.0 mg', u'phos': u'15.0 mg', u'chln': u'3.88 mg', u'chol': u'0.0 mg', u'monofat': u'0.11 g', u'iron': u'0.81 mg', u'mang': u'0.07 mg', u'satcals': u'1.0 kcal', u'omega6': u'0.04 g', u'omega3': u'0.01 g', u'quantity': u'1.0 '}"
Day 2,meal_1,lunchtime rita with green salsa,[u'insoluble fiber'],[],Euphebe,"{u'moly': u'0.03 mcg', u'cals': u'25.18 kcal', u'iodine': u'0.0 mcg', u'insoluble fiber': u'1.13 g', u'vit d-iu': u'0.0 iu', u'alc': u'0.0 g', u'zinc': u'0.06 mg', u'caff': u'0.0 mg', u'folate': u'4.85 mcg', u'transfat': u'0.0 g', u'wgt': u'57.763495 g', u'polyfat': u'0.08 g', u'sodium': u'110.5 mg', u'prot': u'0.79 g', u'totsolfib': u'0.0 g', u'sugar': u'2.3 g', u'calc': u'1.66 mg', u'disacc': u'0.01 g', u'vit a-rae': u'6.73 mcg', u'monsac': u'0.05 g', u'vit d-mcg': u'0.0 mcg', u'fatcals': u'10.17 kcal', u'biot': u'0.0 mcg', u'caroten': u'13.46 mcg', u'totfib': u'1.13 g', u'betacaro': u'35.5 mcg', u'potassium': u'33.79 mg', u'ocarb': u'0.32 g', u'vit b3': u'0.15 mg', u'vit b2': u'0.01 mg', u'vit b1': u'0.01 mg', u'vit b6': u'0.02 mg', u'fat': u'1.13 g', u'water': u'89.02 g', u'vit b12': u'0.0 mcg', u'copp': u'0.01 mg', u'panto': u'0.07 mg', u'sel': u'0.02 mcg', u'magn': u'1.86 mg', u'vit e-a-toco': u'0.18 mg', u'satfat': u'0.08 g', u'carb': u'3.76 g', u'vit a-iu': u'134.62 iu', u'chrom': u'0.0 mcg', u'vit b3-ne': u'0.15 mg', u'retinol': u'0.0 mcg', u'vit c': u'4.75 mg', u'vit k': u'2.56 mcg', u'fol_dfe': u'4.85 mcg dfe', u'fluor': u'0.0 mg', u'phos': u'4.35 mg', u'chln': u'0.33 mg', u'chol': u'0.0 mg', u'monofat': u'0.47 g', u'iron': u'0.37 mg', u'mang': u'0.01 mg', u'satcals': u'0.71 kcal', u'omega6': u'0.0 g', u'omega3': u'0.0 g', u'quantity': u'1.0 '}"
Day 3,meal_1,eggplant caponata with herbed quinoa,[u'insoluble fiber'],[],Euphebe,"{u'moly': u'0.0 mcg', u'cals': u'180.47 kcal', u'iodine': u'0.0 mcg', u'insoluble fiber': u'3.37 g', u'vit d-iu': u'0.0 iu', u'alc': u'0.0 g', u'zinc': u'1.49 mg', u'caff': u'0.0 mg', u'folate': u'88.62 mcg', u'transfat': u'0.0 g', u'sodium': u'6.64 mg', u'polyfat': u'1.62 g', u'prot': u'6.76 g', u'totsolfib': u'0.0 g', u'sugar': u'1.29 g', u'calc': u'26.39 mg', u'disacc': u'0.0 g', u'vit a-rae': u'3.58 mcg', u'monsac': u'0.0 g', u'vit d-mcg': u'0.0 mcg', u'fatcals': u'30.84 kcal', u'biot': u'0.0 mcg', u'caroten': u'7.16 mcg', u'totfib': u'3.37 g', u'betacaro': u'29.28 mcg', u'potassium': u'273.13 mg', u'ocarb': u'0.01 g', u'vit b3': u'0.73 mg', u'vit b2': u'0.15 mg', u'vit b1': u'0.17 mg', u'vit b6': u'0.23 mg', u'fat': u'3.44 g', u'water': u'101.7 g', u'vit b12': u'0.0 mcg', u'copp': u'0.29 mg', u'panto': u'0.37 mg', u'sel': u'4.05 mcg', u'magn': u'95.09 mg', u'vit e-a-toco': u'1.25 mg', u'satfat': u'0.41 g', u'carb': u'30.64 g', u'wgt': u'146.54 g', u'vit a-iu': u'71.56 iu', u'chrom': u'0.0 mcg', u'vit b3-ne': u'2.06 mg', u'retinol': u'0.0 mcg', u'vit c': u'0.69 mg', u'vit k': u'5.85 mcg', u'fol_dfe': u'88.62 mcg dfe', u'fluor': u'0.07 mg', u'phos': u'218.02 mg', u'chln': u'33.49 mg', u'chol': u'0.0 mg', u'monofat': u'1.17 g', u'iron': u'2.22 mg', u'mang': u'0.97 mg', u'satcals': u'3.7 kcal', u'omega6': u'1.47 g', u'omega3': u'0.15 g', u'quantity': u'1.0 '}"
Day 4,meal_1,saag no paneer with cardamom rice,[u'insoluble fiber'],[],Euphebe,"{u'moly': u'0.0 mcg', u'cals': u'203.77 kcal', u'iodine': u'0.0 mcg', u'insoluble fiber': u'1.81 g', u'vit d-iu': u'0.0 iu', u'alc': u'0.0 g', u'zinc': u'1.19 mg', u'caff': u'0.0 mg', u'folate': u'12.77 mcg', u'transfat': u'0.0 g', u'sodium': u'7.04 mg', u'polyfat': u'0.56 g', u'prot': u'4.19 g', u'totsolfib': u'0.2 g', u'sugar': u'0.37 g', u'calc': u'8.3 mg', u'disacc': u'0.37 g', u'vit a-rae': u'0.0 mcg', u'monsac': u'0.0 g', u'vit d-mcg': u'0.0 mcg', u'fatcals': u'16.0 kcal', u'biot': u'0.58 mcg', u'caroten': u'0.0 mcg', u'totfib': u'2.01 g', u'betacaro': u'0.0 mcg', u'potassium': u'139.07 mg', u'ocarb': u'39.95 g', u'vit b3': u'3.6 mg', u'vit b2': u'0.05 mg', u'vit b1': u'0.3 mg', u'vit b6': u'0.26 mg', u'fat': u'1.78 g', u'water': u'113.0 g', u'vit b12': u'0.0 mcg', u'copp': u'0.18 mg', u'panto': u'0.59 mg', u'sel': u'9.49 mcg', u'magn': u'65.51 mg', u'vit e-a-toco': u'0.33 mg', u'satfat': u'0.33 g', u'carb': u'42.34 g', u'wgt': u'162.09 g', u'vit a-iu': u'0.0 iu', u'chrom': u'0.22 mcg', u'vit b3-ne': u'4.49 mg', u'retinol': u'0.0 mcg', u'vit c': u'0.01 mg', u'vit k': u'0.33 mcg', u'fol_dfe': u'12.77 mcg dfe', u'fluor': u'0.08 mg', u'phos': u'172.66 mg', u'chln': u'11.93 mg', u'chol': u'0.0 mg', u'monofat': u'0.59 g', u'iron': u'0.72 mg', u'mang': u'1.59 mg', u'satcals': u'2.95 kcal', u'omega6': u'0.54 g', u'omega3': u'0.02 g', u'quantity': u'1.0 '}"
Day 5,meal_1,roasted chickpea & tahini soup,[],[u'spinach'],Euphebe,"{u'moly': u'1.45 mcg', u'cals': u'389.34 kcal', u'iodine': u'0.58 mcg', u'vit d-iu': u'0.0 iu', u'alc': u'0.0 g', u'caff': u'0.0 mg', u'zinc': u'1.64 mg', u'vitamin k': u'121.61 mcg', u'folate': u'312.53 mcg', u'transfat': u'0.0 g', u'disacc': u'0.29 g', u'polyfat': u'3.76 g', u'sodium': u'766.92 mg', u'prot': u'15.25 g', u'totsolfib': u'2.0 g', u'sugar': u'8.62 g', u'wgt': u'421.99 g', u'vit a-rae': u'146.45 mcg', u'monsac': u'0.94 g', u'vit d-mcg': u'0.0 mcg', u'fatcals': u'113.73 kcal', u'biot': u'1.01 mcg', u'caroten': u'292.9 mcg', u'calc': u'153.93 mg', u'vit b1': u'0.34 mg', u'ocarb': u'33.88 g', u'fiber': u'10.27 g', u'vit b3': u'1.16 mg', u'vit b2': u'0.12 mg', u'potassium': u'417.55 mg', u'vit b6': u'0.3 mg', u'fat': u'12.64 g', u'water': u'42.86 g', u'vit b12': u'0.0 mcg', u'copp': u'0.43 mg', u'panto': u'0.77 mg', u'sel': u'2.5 mcg', u'magn': u'64.09 mg', u'vit e-a-toco': u'0.54 mg', u'satfat': u'1.72 g', u'carb': u'53.91 g', u'vit a-iu': u'2929.05 iu', u'chrom': u'0.08 mcg', u'vit b3-ne': u'2.76 mg', u'retinol': u'0.0 mcg', u'betacaro': u'132.26 mcg', u'fol_dfe': u'266.98 mcg dfe', u'fluor': u'0.01 mg', u'phos': u'178.23 mg', u'vit c': u'13.78 mg', u'chln': u'47.43 mg', u'chol': u'0.0 mg', u'monofat': u'5.2 g', u'iron': u'4.9 mg', u'mang': u'10.07 mg', u'satcals': u'15.51 kcal', u'omega6': u'2.76 g', u'omega3': u'0.08 g', u'quantity': u'1.0 '}"
Day 6,meal_1,veggie heavy spanakopita with chickpea toast and olive and almond crumble,"[u'tomato', u'insoluble fiber']","[u'parsley', u'cauliflower']",Euphebe,"{u'moly': u'6.5 mcg', u'cals': u'189.13 kcal', u'iodine': u'0.44 mcg', u'insoluble fiber': u'3.96 g', u'vit d-iu': u'0.0 iu', u'alc': u'0.0 g', u'vitamin k': u'0.0 mcg', u'zinc': u'0.69 mg', u'caff': u'0.0 mg', u'folate': u'10.04 mcg', u'transfat': u'0.0 g', u'sodium': u'351.5 mg', u'polyfat': u'2.72 g', u'prot': u'4.67 g', u'totsolfib': u'0.33 g', u'sugar': u'1.0 g', u'calc': u'59.42 mg', u'disacc': u'0.89 g', u'vit a-rae': u'0.03 mcg', u'monsac': u'0.11 g', u'vit d-mcg': u'0.0 mcg', u'fatcals': u'147.23 kcal', u'biot': u'14.12 mcg', u'caroten': u'0.05 mcg', u'totfib': u'3.96 g', u'betacaro': u'0.24 mcg', u'potassium': u'163.37 mg', u'ocarb': u'4.16 g', u'fiber': u'2.76 g', u'vit b3': u'0.8 mg', u'vit b2': u'0.25 mg', u'vit b1': u'0.05 mg', u'vit b6': u'0.03 mg', u'fat': u'16.36 g', u'water': u'2.54 g', u'vit b12': u'0.0 mcg', u'copp': u'0.23 mg', u'panto': u'0.11 mg', u'sel': u'0.91 mcg', u'magn': u'59.64 mg', u'vit e-a-toco': u'5.65 mg', u'satfat': u'0.84 g', u'carb': u'7.92 g', u'wgt': u'48.94 g', u'vit a-iu': u'0.54 iu', u'chrom': u'0.0 mcg', u'vit b3-ne': u'1.53 mg', u'retinol': u'0.0 mcg', u'vit c': u'0.66 mg', u'vit k': u'4.4 mcg', u'fol_dfe': u'10.04 mcg dfe', u'fluor': u'0.0 mg', u'phos': u'106.19 mg', u'chln': u'11.57 mg', u'chol': u'0.0 mg', u'monofat': u'6.96 g', u'iron': u'0.82 mg', u'mang': u'0.48 mg', u'satcals': u'7.55 kcal', u'omega6': u'2.72 g', u'omega3': u'0.0 g', u'quantity': u'1.0 '}"
