,,,,Energy,,,,,,Minerals,,,,,,,Vitamins,,,,,,,,,,,,,Lipids,,,,,Other,
,,,,Energy,Protein,Total lipid (fat),Carbohydrate. by difference,Fiber. total dietary,Sugars. total,Calcium. Ca,Iron. Fe,Magnesium. Mg,Phosphorus. P,Potassium. K,Sodium. Na,Zinc. Zn,Vitamin C. total ascorbic acid,Thiamin (B1),Riboflavin (B2),Niacin (B3),Vitamin B-6,Folate. DFE,Vitamin B-12,Vitamin A. RAE,Vitamin A. IU,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Vitamin D,Vitamin K (phylloquinone),Fatty acids. total saturated,Fatty acids. total monounsaturated,Fatty acids. total polyunsaturated,Fatty acids. total trans,Cholesterol,Other,Caffeine
,,,Unit,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,IU,mg,µg,IU,µg,g,g,g,g,mg,,mg
,TOTAL,,2.04,593,17.3,28.2,70.9,14.5,8,117.5,6.1,199.6,520.9,473.4,47,3.9,5.9,595.7,109.4,752.6,94.8,56.2,-,0.1,1.6,0,-,-,0.2,1.8,1.3,0.4,0,-,-,-
,% of RDI,,,30%,35%,47%,,52%,,10%,40%,57%,104%,12%,3%,26%,8%,42547%,6839%,4181%,4742%,14%,0%,0%,,0%,0%,0%,0%,,,,,,,
Breakfast 3,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Covered Strawberry Super-food Oats,Oats,cup,0.5,303.4,13.2,5.4,51.7,8.3,-,42.1,3.7,138.1,407.9,334.6,1.6,3.1,-,595.1,108.4,749.6,92.8,43.7,-,-,-,-,-,-,-,0,0,0,-,-,-,-
,Flax seeds,cup,0.06,56.1,1.9,4.4,3,2.9,0.2,26.8,0.6,41.2,67.4,85.4,3.2,0.5,0.1,0.2,0,0.3,0,9.1,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Chia seeds,cup,0.02,16.4,0.6,1,1.4,1.2,-,21.3,0.3,11.3,29,13.7,0.5,0.2,0.1,0,0,0.3,-,-,-,-,0,0,-,-,-,0,0,0,0,-,-,-
,Goji berries. dried,cup,0.06,24,1,0,5.3,0.9,3.1,13.1,0.5,-,-,-,20.5,-,3.3,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
,Cinnamon,tsp,0.5,2.8,0,0,0.9,0.6,0,11.5,0.1,0.7,0.7,5,0.1,0,0,0.3,0.5,0,1.8,0.1,-,0.1,1.5,0,-,-,0.2,1.7,1.2,0.3,-,-,-,-
,Strawberries,cup,0.25,11.5,0.2,0.1,2.8,0.7,1.8,5.8,0.1,4.7,8.6,55.1,0.4,0.1,21.2,0,0,0.1,0,8.6,-,0,0,0,-,-,0,0,0,0,-,-,-,-
,Coconut milk,cup,0.5,159.6,-,16,4,-,2,-,0.7,-,-,-,20.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-
,Dates,cup,0.06,30.8,0.3,0,8.2,0.9,6.9,4.3,0.1,4.7,6.8,71.8,0.2,0,0,0,0,0.1,0,2.1,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Cashew nuts,cup,0.02,14.9,0.4,1.2,0.9,0.1,0.1,1.2,0.2,6.8,12.8,14.7,0.4,0.1,-,0,0,0,0,1.8,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Cocoa powder,cup,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maca powder,?,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Pure Vanilla Extract,tsp,0.13,1.5,0,0,0.1,-,0.1,0.1,0,0.1,0,0.8,0,0,-,0.1,0.5,2.2,0.1,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-
,Stevia,drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,,2.17,621.2,17.6,28.2,78.3,15.5,14.2,126,6.2,207.4,533.3,581,47.3,4,24.7,595.7,109.4,752.8,94.9,65.4,-,0.1,1.5,0,-,-,0.2,1.8,1.3,0.4,,,,
,% of RDI,,,31%,35%,47%,,55%,,11%,42%,59%,107%,15%,3%,26%,33%,42547%,6840%,4182%,4743%,16%,0%,0%,,0%,0%,0%,0%,,,,,,,
Breakfast 4,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‘Sausage’ Biscuits and Gravy,Garbanzo bean flour,cup,0.13,55.1,3,1,9,2.5,1.5,20,0.9,-,-,-,2.6,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,"Teff, cooked",cup,0.13,31.8,0,0,0,0,-,0.1,0,0.1,0.2,0.1,0,0,-,0,0,0,0,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-
,White potato. cooked with peel,cup,0.25,51.8,0,0,0.1,0,0,0,0,0.1,0.2,1.4,0,0,0,0,0,0,0,0.1,-,0,0,0,-,-,0,0,-,0,-,-,-,-
,Pinto beans. sprouted. cooked,cup,0.06,2.3,0,0,0,-,-,0,0,0,0,0.1,0,0,0,0,0,0,0,0,-,-,0,-,-,-,-,0,0,0,-,-,-,-
,Sundried tomatoes,cup,0.04,5.8,0,0,0,0,0,0,0,0.1,0.1,1.4,0,0,0,0,0,0,0,0,-,0,0.4,0,-,-,0,0,0,0,-,-,-,-
,Yellow onions. saute,cup,0.06,8.8,0,0,0,0,-,0,0,0,0,0.1,0,0,0,0,0,0,0,-,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Nutritional Yeast,tsp,1,10.7,0.5,0,0.3,0.2,-,-,0,-,-,-,1.7,-,-,0.8,0.7,3.1,0.4,72,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-
,Garlic powder,tsp,0.25,2.3,0,0,0.2,0,0,0.2,0,0.2,1,3,0.2,0,0,1.1,0.4,2,0,0.1,-,-,-,0,-,-,0,0.6,0.3,0.4,-,-,-,-
,Onion Powder,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Black Pepper,tsp,0.13,0.7,0,0,0.1,0,0,0.6,0,0.2,0.2,1.7,0,0,-,0.1,0,0,0.4,0,-,0,0.7,0,-,-,0.2,0,0.9,1.2,-,-,-,-
,Table salt,tsp,0.13,-,-,-,-,-,-,0,0,0,-,0,48.4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sage ground,tsp,0.25,0.6,0,0,0.2,0.1,0,4.1,0.1,1.1,0.2,2.7,0,0,0.1,1.9,0.8,0,0,0.7,-,0.7,14.8,0,-,-,4.3,0,0,0,-,-,-,-
,Soy sauce,tsp,0.5,1.7,0,0,0,0,0,0.2,0,0.3,0.8,1.8,18,0,-,0,0,0,0,0.2,-,-,-,0,-,-,-,0.2,0.2,0.7,-,-,-,-
,Hickory,drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,,2.92,171.5,3.7,1.1,9.9,2.9,1.5,25.2,1.1,2.1,2.8,12.2,71,0,0.7,3.9,1.8,5.1,0.8,73.2,1.2,0.8,15.8,0,-,-,4.5,0.8,1.4,2.4,-,-,-,-
,% of RDI,,,9%,7%,2%,,10%,,2%,7%,1%,1%,0%,5%,0%,1%,278%,115%,28%,39%,18%,0%,0%,,0%,0%,0%,6%,,,,,,,
Breakfast 5,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry Banana Pancakes,Oats,cup,0.5,303.4,13.2,5.4,51.7,8.3,-,42.1,3.7,138.1,407.9,334.6,1.6,3.1,-,595.1,108.4,749.6,92.8,43.7,-,-,-,-,-,-,-,0,0,0,-,-,-,-
,Coconut meat,cup,0.06,20.6,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Raw banana,cup,0.13,33.4,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,-,0,0.1,0,-,-,0,0,0,0,-,-,-,-
,Raw blueberries,cup,0.06,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,0,0,0,0,-,-,-,-
,Dates,cup,0.06,30.8,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Pure Vanilla Extract,tsp,0.13,1.5,0,0,0,-,0,0,0,0,0,0.2,0,0,-,0,0.1,0.5,0,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-
,Cinnamon,tsp,0.13,0.7,0,0,0.1,0.1,0,1.3,0,0.1,0.1,0.5,0,0,0,0,0.1,0,0.2,0,-,0,0.4,0,-,-,0,0.4,0.3,0.1,-,-,-,-
