,,,,Energy,,,,,,Minerals,,,,,,,Vitamins,,,,,,,,,,,,,Lipids,,,,,Other,
,,,,Energy,Protein,Total lipid (fat),Carbohydrate. by difference,Fiber. total dietary,Sugars. total,Calcium. Ca,Iron. Fe,Magnesium. Mg,Phosphorus. P,Potassium. K,Sodium. Na,Zinc. Zn,Vitamin C. total ascorbic acid,Thiamin (B1),Riboflavin (B2),Niacin (B3),Vitamin B-6,Folate. DFE,Vitamin B-12,Vitamin A. RAE,Vitamin A. IU,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Vitamin D,Vitamin K (phylloquinone),Fatty acids. total saturated,Fatty acids. total monounsaturated,Fatty acids. total polyunsaturated,Fatty acids. total trans,Cholesterol,Other,Caffeine
,,,Unit,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,IU,mg,µg,IU,µg,g,g,g,g,mg,,mg
,"Garbanzo beans, cooked",cup,0.125,33.6,1.8,0.5,5.6,1.6,1,10,0.6,9.8,34.4,59.7,1.4,0.3,0.3,0,0,0.1,0,35.3,-,0,0,0,-,-,0,0,0,0,-,-,-,-
,Yellow onions. saute,cup,0.0625,8.8,0.1,0.8,0.6,0.1,-,1.4,0,0.6,2.4,9.6,0.9,0,0.1,0,0,0,0,-,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Garlic powder,tsp,0.5,4.6,0.2,0,1,0.1,0,1.1,0.1,1.1,5.8,16.7,0.8,0,0,6.1,2,11.1,0,0.7,-,-,-,0,-,-,0,1.2,0.6,0.9,-,-,-,-
,Onion Powder,tsp,0.5,4.1,0.1,0,0.9,0.2,0.1,4.6,0,1.4,3.9,11.8,0.9,0,0.3,0,0,0,0,0.8,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Oregano Dried,tsp,0.125,0.3,0,0,0.1,0.1,0,2,0,0.3,0.2,1.6,0,0,0,0.2,0.7,0,0,0.3,-,0.1,2.1,0,-,-,0.8,0,0,0,-,-,-,-
,Paprika,tsp,0.125,0.7,0,0,0.1,0.1,0,0.6,0.1,0.5,0.8,6,0.2,0,0,0,0,0,0,0.1,-,3.1,61.6,0,-,-,0.1,0,0,0,-,-,-,-
,Black Pepper,tsp,0.125,0.7,0,0,0.2,0.1,0,1.2,0,0.4,0.4,3.5,0.1,0,-,0.3,0,0,0.8,0,-,0,0.7,0,-,-,0.2,0,0.9,1.2,-,-,-,-
,Table salt,tsp,0.125,-,-,-,-,-,-,0.2,0,0,-,0.1,290.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Chili powder,tsp,0.125,0.9,0,0,0.2,0.1,0,1.1,0.1,0.5,1,6.3,9.3,0,0,0,0,0,0,0.1,-,1.9,37.1,0,-,-,0.1,0,0,0,-,-,-,-
,Cumin,tsp,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,,58.1875,113.8,4.8,2.2,21.9,4.9,3.8,36.4,1.4,41.3,116.3,359.1,327.6,0.8,20.7,6.8,2.7,12.5,1,86.4,-,5.7,104.7,0.2,-,-,1.6,1.4,1.7,2.5,-,-,-,-
,% of RDI,,,6%,10%,4%,,17%,,3%,9%,12%,23%,9%,22%,5%,28%,483%,170%,69%,48%,22%,0%,1%,,2%,0%,0%,2%,,,,,,,
Dinner 2,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaghetti and ‘Meatballs’,Brown Rice Medium-Grain,cup,3,655.2,13.6,4.9,137.5,10.5,-,58.5,3.1,257.4,450.5,462.2,5.9,3.6,-,596.7,70.2,5.9,871.7,23.4,-,-,-,-,-,-,-,5,0,8.9,-,-,-,-
,"Garbanzo beans, cooked",cup,0.125,33.6,1.8,0.5,5.6,1.6,1,10,0.6,9.8,34.4,59.7,1.4,0.3,0.3,0,0,0.1,0,35.3,-,0,0,0,-,-,0,0,0,0,-,-,-,-
,Sundried tomatoes,cup,0.0625,8.7,0.5,0.1,1.9,0.4,1.3,3.7,0.3,6.5,12,115.7,3.6,0.1,1.3,0,0,0.3,0,2.3,-,0,0.5,0,-,-,0,0,0,0,-,-,-,-
,Spinach Cooked,cup,1,10.1,1.3,0.1,1.7,1.1,0.2,59.8,1.6,38.3,24.6,205,30.8,0.3,4.3,0,0.1,0.2,0.1,64.2,-,5.2,,0,-,-,4.9,0,0,0,-,-,-,-
,Garlic. Raw,tsp,0.5,2.1,0.1,0,0.5,0,0,2.5,0,0.4,2.1,5.6,0.2,0,0.4,0,0,0,17.3,0,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Pinto beans. sprouted. Cooked,cup,0.0625,2.3,0.2,0,0.4,-,-,1.6,0.1,1.9,3.2,10.4,5.4,0,0.6,0,0,0.1,0,3.1,-,-,0,-,-,-,-,0,0,0,-,-,-,-
,"Teff, cooked",cup,0.020833333,5.3,0.2,0,1,0.1,-,2.6,0.1,2.6,6.3,5.6,0.4,0.1,-,0,0,0,0,0.9,-,-,0,-,-,-,-,-,-,-,-,-,-,-
,Parsley Dried,tsp,1,1.5,0.1,0,0.3,0.1,0,6,0.1,2.1,2.3,14.2,2.4,0,0.7,1,0,0.1,0,1,-,1,19.4,0.1,-,-,13.6,0,7.6,0,-,-,-,-
,Canned tomatoes. stewed,cup,1,58.5,2,0.4,13.9,2.3,7.9,76.5,3,27,45,465.8,497.3,0.4,17.8,0.1,0.1,1.6,0,11.3,-,0.1,1.7,0,-,-,0,0,0,0,-,-,-,-
,Table salt,tsp,0.125,-,-,-,-,-,-,0.2,0,0,-,0.1,290.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Onion Powder,tsp,0.125,1,0,0,0.2,0,0,1.2,0,0.3,1,3,0.2,0,0.1,0,0,0,0,0.2,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Thyme Dried,tsp,0.125,0.3,0,0,0.1,0,0,1.9,0.1,0.2,0.2,0.8,0.1,0,0.1,0.5,0.4,0,0,0.3,-,0.2,4.8,0,-,-,2.1,0,0,0,-,-,-,-
,Rosemary dried,tsp,0.125,0.5,0,0,0.1,0.1,-,1.9,0,0.3,0.1,1.4,0.1,0,0.1,0.8,0.6,0,0,0.5,-,0.2,3.9,-,-,-,-,0,0,0,-,-,-,-
,Marjoram. Dried,tsp,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sage ground,tsp,0.125,0.3,0,0,0.1,0,0,1.4,0,0.4,0.1,0.9,0,0,0,0.7,0.3,0,0,0.2,-,0.4,7.4,0,-,-,2.1,0,0,0,-,-,-,-
,Oregano Dried,tsp,0.125,0.3,0,0,0.1,0.1,0,2,0,0.3,0.2,1.6,0,0,0,0.2,0.7,0,0,0.3,-,0.1,2.1,0,-,-,0.8,0,0,0,-,-,-,-
,Nutritional yeast,tsp,0.5,5.3,0.7,0,0.4,0.3,-,-,0.1,-,-,-,2.2,-,-,1.1,0.9,4.1,0.5,96.1,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-
,TOTAL,,8.145833333,785.2,20.6,6.2,163.8,16.6,10.4,229.9,9.2,347.7,582,"1,351.90",840.7,4.9,25.7,601.2,73.3,12.4,889.7,239,1.5,7.2,39.9,0.2,-,-,23.7,5,7.6,8.9,-,-,-,-
,% of RDI,,,39%,41%,10%,,59%,,19%,61%,99%,116%,34%,56%,33%,34%,42941%,4582%,69%,44484%,60%,0%,1%,,2%,0%,0%,30%,,,,,,,
Dinner 3,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Machine Bean Burger,Frozen edamame,cup,0.0625,10.6,1.1,0.5,0.7,0.5,0.2,5.8,0.2,5.9,15.6,46.7,0.6,0.1,0.9,0,0,0.1,0,29.4,-,-,-,0,0,-,-,-,-,-,-,-,-,-
,"Corn, sweet, white, raw",cup,0.0625,8.3,0.3,0.1,1.8,0.3,0.3,0.2,0.1,3.6,8.6,26,1.4,0,0.7,0,0,0.2,0,4.4,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,"White beans, cooked",cup,0.0625,15.6,1.1,0,2.8,0.7,0,10.1,0.4,7,12.6,62.8,0.7,0.2,-,0,0,0,0,9.1,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Yellow onions. saute,cup,0.020833333,2.9,0,0.3,0.2,0,-,0.5,0,0.2,0.8,3.2,0.3,0,0,0,0,0,0,-,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,White potato. cooked with peel,cup,0.041666667,8.6,0.2,0,2,0.2,0.1,0.9,0.1,2.5,7,51,0.7,0,1.2,0,0,0.1,0,3.6,-,0,0,0,-,-,0,0,-,0,-,-,-,-
,Cumin,tsp,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onion Powder,tsp,0.5,4.1,0.1,0,0.9,0.2,0.1,4.6,0,1.4,3.9,11.8,0.9,0,0.3,0,0,0,0,0.8,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Garlic. Raw,tsp,0.5,2.1,0.1,0,0.5,0,0,2.5,0,0.4,2.1,5.6,0.2,0,0.4,0,0,0,17.3,0,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Garlic powder,tsp,0.5,4.6,0.2,0,1,0.1,0,1.1,0.1,1.1,5.8,16.7,0.8,0,0,6.1,2,11.1,0,0.7,-,-,-,0,-,-,0,1.2,0.6,0.9,-,-,-,-
,Table salt,tsp,0.125,-,-,-,-,-,-,0.2,0,0,-,0.1,290.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Dates,cup,0.020833333,10.3,0.1,0,2.7,0.3,2.3,1.4,0,1.6,2.3,23.9,0.1,0,0,0,0,0,0,0.7,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Canned tomatoes. Stewed,cup,0.0625,3.7,0.1,0,0.9,0.1,0.5,4.8,0.2,1.7,2.8,29.1,31.1,0,1.1,0,0,0.1,0,0.7,-,0,0.1,0,-,-,0,0,0,0,-,-,-,-
,Vinegar Cider,tsp,0.125,0.1,-,-,0,-,0,0,0,0,0.1,0.5,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Red onion,cup,0.0625,2.8,0.1,-,0.7,0.2,0.6,2.5,0,-,-,-,0.3,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Dill dried,tsp,0.333333333,1.8,0.1,0,0.4,0.1,-,12.5,0.3,3.2,3.8,23.2,1.5,0,0.4,2.9,2,0,0,-,-,1,19.5,-,-,-,-,0.8,-,-,-,-,-,-
,"Teff, cooked",cup,0.25,63.6,2.4,0.4,12.5,1.8,-,30.9,1.3,31.5,75.6,67.4,5,0.7,-,0.1,0,0.6,0.1,11.3,-,-,0,-,-,-,-,-,-,-,-,-,-,-
,Sorghum grain,cup,0.020833333,13.2,0.4,0.1,2.9,0.3,0.1,0.5,0.1,6.6,11.6,14.5,0.1,0.1,-,0,0,0.1,0,0.8,-,-,-,0,-,-,-,0,0,0,0,-,-,-
,TOTAL,,2.875,152.2,6.4,1.5,30.1,4.8,4.3,78.6,2.9,66.6,152.5,382.4,334.3,1.3,5.8,9.2,4,12.5,17.5,61.4,-,1,19.7,0,0,-,0,2,0.6,0.9,0,-,-,-
,% of RDI,,,8%,13%,3%,,17%,,7%,20%,19%,31%,10%,22%,9%,8%,658%,252%,69%,874%,15%,0%,0%,,0%,0%,0%,0%,,,,,,,
