Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Pea Soup,1,Serving,268.13,451.86,69.99,10.08,24.45,74.54,28.21,6.61,14.48,2.29,0.66,31.64,7.89,1.12,5.03,1.26,0,0,155.83,4262.05,213.1,426.2,0,379.08,0.73,0.24,2.98,7.57,0.27,0,2.23,19.42,0,0,1.31,277.99,277.99,22.46,1.81,89.35,0.04,0.83,0,1.26,5.71,58.79,1.34,3.16,332.16,1179.54,4.33,757.12,3.59,0.15,1.11,0,0,96.38
"    split peas, green, dry",0.211538,Pound,95.95,337.75,10.02,1.39,22.86,61.16,24.47,6.6,7.68,0,0,29.02,1.11,0.15,0.23,0.47,0,0,8.27,142.97,7.15,14.3,0,85.4,0.7,0.21,2.77,7.17,0.17,0,0,1.73,0,0,0.09,262.91,262.91,13.91,1.69,35.5,0,0.78,0,0,4.62,47.02,1.17,0,308.01,789.69,3.93,14.39,3.41,0.08,0.39,0,0,91.63
"    celery, fresh, stalk",1.5,Ounce-weight,42.52,5.8,0,0,0,1.55,0.77,0,0.77,0,0,0,0,0,0,0,0,0,40.66,193.29,9.66,19.33,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,15.46,0,0,0,0,0.14,0,0,0,0,100.51,0,44.46,0,0,0,0,0,0
"    carrots, fresh",1.69231,Ounce-weight,47.98,18.45,0,0,0.62,4.31,1.23,0,3.08,0,0,0,0,0,0,0,0,0,42.59,3382.93,169.15,338.29,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0,12.3,0,0,0,0,0.22,0,0,0,0,153.77,0,36.9,0,0,0,0,0,0
"    onion, yellow, fresh, chopped",2.23077,Ounce-weight,63.24,25.3,0.57,0.24,0.7,5.91,1.08,0,2.68,2.06,0.62,2.15,0.06,0.03,0.01,0.01,0,0,56.35,1.26,0.06,0.13,0,0.63,0.03,0.02,0.07,0.22,0.08,0,2.21,4.68,0,0,0.01,12.02,12.02,0.25,0.08,14.55,0,0.02,0,1.26,0.13,6.32,0.08,3.16,18.34,92.33,0.32,2.53,0.11,0,0.01,0,0,3.86
"    bay leaf, dried",0.211538,Each,0.04,0.14,0.03,0.01,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0.14,0.27,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.08,0.08,0,0,0.37,0,0,0,0,0.02,0.05,0,0,0.05,0.23,0,0.01,0,0,0,0,0,0
"    thyme, fresh",0.0625,Ounce-weight,1.77,1.79,0.27,0.07,0.1,0.43,0.25,0,0,0,0,0,0.03,0.01,0,0.01,0,0,1.15,84.18,4.21,8.42,0,50.52,0,0.01,0.03,0.07,0.01,0,0,2.84,0,0,0,0.8,0.8,0,0.01,7.18,0,0.01,0,0,0.31,2.83,0.03,0,1.88,10.79,0,0.16,0.03,0.01,0,0,0,0
"    black pepper, ground",0.009615,Ounce-weight,0.27,0.68,0.08,0.03,0.03,0.17,0.07,0,0,0,0,0.1,0.01,0,0,0,0,0,0.03,1.49,0.07,0.15,0,0.85,0,0,0,0.01,0,0,0,0,0,0,0,0.05,0.05,0.45,0,1.21,0.04,0,0,0,0.03,0.47,0.03,0,0.43,3.62,0.01,0.05,0,0,0,0,0,0.03
    paprika,0.03125,Ounce-weight,0.89,2.5,1.03,0.17,0.13,0.48,0.31,0,0.09,0.08,0.01,0.08,0.11,0.02,0.02,0.07,0,0,0.1,436.35,21.82,43.64,0,231.78,0,0.01,0.09,0.1,0.02,0,0,0.01,0,0,0.26,0.43,0.43,0.71,0.02,2.03,0,0.01,0,0,0.19,1.58,0.01,0,2.78,20.2,0.06,0.6,0.04,0,0.06,0,0,0.46
