Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
"    oil, olive",0.230769,Ounce-weight,6.54,57.83,57.83,8.13,0,0,0,0,0,0,0,0,6.54,0.9,4.77,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,3.94,0,0.07,0,0,0,0,0.04,0,0,0,0,0.07,0,0.13,0,0.05,0.64,0,0,0.02
"    parsley, fresh, chopped",0.153846,Teaspoon,0.19,0.07,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0.17,16.42,0.82,1.64,0,9.85,0,0,0,0,0,0,0,0.26,0,0,0,0.3,0.3,3.2,0,0.27,0,0,0,0,0.01,0.1,0,0,0.11,1.08,0,0.11,0,0,0,0,0,0.02
"    lemon juice, fresh",0.230769,Fluid ounce,7.04,1.55,0.15,0.03,0.02,0.49,0.02,0.01,0.18,0.15,0.03,0.29,0.02,0,0,0,0,0,6.5,0.42,0.02,0.04,0,0.07,0,0,0.01,0.01,0,0,0.02,2.72,0,0,0.01,1.41,1.41,0,0.01,0.42,0,0,0,0,0.01,0.42,0,0,0.56,7.25,0.01,0.07,0,0,0,0,0,0.36
    sea salt,0.06,Ounce-weight,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.71,,,,,,
Total,1,Serving,268.13,451.86,69.99,10.08,24.45,74.54,28.21,6.61,14.48,2.29,0.66,31.64,7.89,1.12,5.03,1.26,0,0,155.83,4262.05,213.1,426.2,0,379.08,0.73,0.24,2.98,7.57,0.27,0,2.23,19.42,0,0,1.31,277.99,277.99,22.46,1.81,89.35,0.04,0.83,0,1.26,5.71,58.79,1.34,3.16,332.16,1179.54,4.33,757.12,3.59,0.15,1.11,0,0,96.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chana Masala,1,Serving,404.55,394.34,82.6,8.57,18.11,61.67,15.34,2.85,16.04,3.26,0.81,29.03,9.24,0.95,3.45,2.09,0,0,298.93,4092.98,204.65,409.3,0,1595.77,0.34,0.17,1.27,3.59,0.49,0,3.11,44.29,0,0,1.26,384.84,370.92,47.75,1.25,158.34,0,0.47,0.04,1.55,5.97,70.73,13.35,4.98,192.31,904.95,0.64,748.2,1.95,0.1,1.99,0,0,78.39
"    oil, olive",0.016304,Cup,3.52,31.13,31.13,4.38,0,0,0,0,0,0,0,0,3.52,0.49,2.57,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,2.12,0,0.04,0,0,0,0,0.02,0,0,0,0,0.04,0,0.07,0,0.03,0.34,0,0,0.01
"    onion, yellow, fresh, chopped",2.72826,Ounce-weight,77.34,30.94,0.7,0.29,0.85,7.22,1.31,0,3.28,2.52,0.76,2.63,0.08,0.03,0.01,0.01,0,0,68.92,1.55,0.08,0.15,0,0.77,0.04,0.02,0.09,0.27,0.09,0,2.71,5.72,0,0,0.02,14.7,14.7,0.31,0.1,17.79,0,0.03,0,1.55,0.16,7.73,0.1,3.87,22.43,112.92,0.39,3.09,0.13,0,0.01,0,0,4.72
"    garlic, minced",0.108696,Ounce-weight,3.08,9.24,2.77,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ginger root, fresh",0.016304,Pound,7.4,5.92,0.5,0.14,0.13,1.31,0.15,0,0.13,0,0,1.04,0.06,0.02,0.01,0.01,0,0,5.83,0,0,0,0,0,0,0,0.06,0.07,0.01,0,0,0.37,0,0,0.02,0.81,0.81,0.01,0.02,1.18,0,0.02,0,0,0.04,3.18,0.02,0,2.51,30.69,0.05,0.96,0.03,0,0.01,0,0,2.13
"    jalapeno peppers, fresh",0.130435,Ounce-weight,3.7,1.07,0.12,0.03,0.03,0.24,0.1,0,0.14,0.14,0,0,0.01,0,0,0,0,0,3.39,39.86,1.99,3.99,0,20.74,0,0,0.05,0.05,0.02,0,0,4.39,0,0,0.13,1,1,0.68,0.01,0.44,0,0,0,0,0.01,0.55,0,0,0.96,9.17,0.01,0.11,0.01,0,0,0,0,0.28
"    coriander seed, ground",0.054348,Ounce-weight,1.54,6.86,2.61,0,0.22,0.85,0.82,0,0,0,0,0,0.29,0,0,0,0,0,0.1,0.77,0.04,0.08,0,0.46,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,11.25,0,0,0,0,0.08,0,0,0,0,0,0,0.37,0,0,0,0,0,0
"    cumin seeds, ground",0.076087,Ounce-weight,2.16,9.6,4.5,0,0.41,0.86,0.78,0,0,0,0,0,0.5,0,0,0,0,0,0.22,9.71,0.49,0.97,0,5.82,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,17.9,0,0,0,0,0.74,0,0,0,0,0,0,4.27,0,0,0,0,0,0
"    cayenne chili pepper, dried, ground",0.001359,Cup,0.12,0.37,0.18,0.03,0.01,0.07,0.03,0,0.01,0,0,0.02,0.02,0,0,0.01,0,0,0.01,48.85,2.44,4.88,0,25.64,0,0,0.01,0.01,0,0,0,0.09,0,0,0.04,0.12,0.12,0.09,0,0.17,0,0,0,0,0.01,0.18,0,0,0.34,2.36,0.01,0.04,0,0,0.01,0,0,0.06
"    turmeric, ground",0.021739,Ounce-weight,0.62,1.92,0.18,0.1,0.06,0.41,0.14,0,0.02,0.01,0.01,0.25,0.02,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0.03,0.12,0.12,0.08,0,1.04,0,0.01,0,0,0.34,1.28,0.12,0,1.84,12.82,0.04,0.17,0.03,0,0,0,0,0.3
"    paprika, ground",0.211957,Ounce-weight,6.01,22.23,6,0,0.91,3.3,2.16,0,0,0,0,0,0.67,0,0,0,0,0,0.67,2529.73,126.49,252.97,0,1517.84,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,12.62,0,0,0,0,0.75,0,0,0,0,0,0,6.35,0,0,0,0,0,0
"    spice blend, garam masala",0.021739,Ounce-weight,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    tomatoes, crushed",5.07065,Ounce-weight,143.75,35.35,0,0,2.36,7.07,1.77,0,5.3,0,0,0,0,0,0,0,0,0,130.04,942.63,47.13,94.26,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,47.13,0,0,0,0,0.85,0,0,0,0,223.87,0,329.92,0,0,0,0,0,0
"    chickpeas, dry",2.15217,Ounce-weight,61.01,230.63,33.17,3.31,12.49,38.41,7.44,2.68,6.53,0,0,24.44,3.69,0.37,0.84,1.67,0,0,4.69,40.88,2.04,4.09,0,24.41,0.29,0.13,0.94,2.97,0.33,0,0,2.44,0,0,0.5,339.84,339.84,5.49,0.97,34.78,0,0.4,0,0,2.63,48.2,13,0,153.75,438.07,0,14.64,1.68,0.06,1.6,0,0,60.59
"    cauliflower florets, fresh",0.788043,Ounce-weight,22.34,5.59,0.56,0.26,0.43,1.11,0.45,0.16,0.43,0.43,0,0.24,0.06,0.03,0.01,0.01,0,0,20.57,0,0,0,0,0,0.01,0.01,0.11,0.19,0.04,0,0.38,10.77,0,0,0.02,12.73,12.73,3.46,0.15,4.91,0,0.01,0,0,0.09,3.35,0.03,1.12,9.83,66.8,0.13,6.7,0.06,0,0,0,0,9.9
"    spinach, baby, fresh",0.016304,Pound,7.4,1.74,0,0,0.17,0.26,0.17,0,0,0,0,0.09,0,0,0,0,0,0,0,478.53,23.93,47.85,0,0,0,0,0,0,0,0,0,2.09,0,0,0,13.92,0,35.5,0,6.96,0,0,0,0,0.23,5.22,0.07,0,0,0,0,5.66,0,0,0,0,0,0
"    lemon juice, fresh",0.26087,Fluid ounce,7.96,1.75,0.17,0.03,0.03,0.55,0.02,0.01,0.2,0.17,0.03,0.32,0.02,0,0,0,0,0,7.34,0.48,0.02,0.05,0,0.08,0,0,0.01,0.01,0,0,0.02,3.08,0,0,0.01,1.59,1.59,0,0.01,0.48,0,0,0,0,0.01,0.48,0,0,0.64,8.2,0.01,0.08,0,0,0,0,0,0.41
"    water, tap",1.8587,Fluid ounce,55.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0.01,0.04,0,0,0.55,0,0,0,0,0,2.2,0.01,0,0,0,0,0
    sea salt,0.034,ounce-weight,0.963883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.558,,,,,,
Total,1,Serving,404.55,394.34,82.6,8.57,18.11,61.67,15.34,2.85,16.04,3.26,0.81,29.03,9.24,0.95,3.45,2.09,0,0,298.93,4092.98,204.65,409.3,0,1595.77,0.34,0.17,1.27,3.59,0.49,0,3.11,44.29,0,0,1.26,384.84,370.92,47.75,1.25,158.34,0,0.47,0.04,1.55,5.97,70.73,13.35,4.98,192.31,904.95,0.64,748.2,1.95,0.1,1.99,0,0,78.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Spiced Rice,1,Serving,26.71,58.81,5.45,1,1.91,11.65,1.11,0.06,0.7,0.05,0.64,0.8,0.61,0.11,0.11,0.05,0,0,10.99,297.14,14.86,29.72,0,173.23,0.04,0.02,1.24,1.33,0.01,0,0,2.53,0,0,0.03,7.32,7.32,3.85,0.07,12.48,0,0.02,0,0,0.81,6.33,0.07,0.68,15,34.49,0.3,17.88,0.15,0.01,0.04,0,0,3.88
"    rice, brown",0.214286,Cup,12.28,45.44,3.43,0.81,1.06,9.45,0.42,0,0,0,0,0,0.38,0.09,0,0,0,0,0,6.2,0.31,0.62,0,0,0,0,0.97,0.97,0,0,0,0.01,0,0,0,0,0,0,0,2.4,0,0,0,0,0.09,0,0,0,0,0,0,1.84,0,0,0,0,0,0
    cumin seeds,0.026786,Ounce-weight,0.76,2.85,1.52,0.1,0.14,0.34,0.08,0,0.02,0,0,0.24,0.17,0.01,0.11,0.02,0,0,0.06,9.64,0.48,0.96,0,5.79,0,0,0.03,0.03,0,0,0,0.06,0,0,0.03,0.08,0.08,0.04,0,7.07,0,0.01,0,0,0.5,2.78,0.03,0,3.79,13.58,0.04,1.28,0.04,0,0.02,0,0,0.19
"    peas, green, frozen",0.482143,Ounce-weight,13.67,10.52,0.49,0.08,0.71,1.86,0.62,0.06,0.68,0.05,0.64,0.56,0.05,0.01,0,0.02,0,0,10.93,281.3,14.06,28.13,0,167.44,0.04,0.01,0.24,0.32,0.01,0,0,2.46,0,0,0,7.24,7.24,3.81,0.07,3.01,0,0.02,0,0,0.21,3.55,0.05,0.68,11.21,20.91,0.26,14.76,0.11,0,0.02,0,0,3.69
Total,1,Serving,26.71,58.81,5.45,1,1.91,11.65,1.11,0.06,0.7,0.05,0.64,0.8,0.61,0.11,0.11,0.05,0,0,10.99,297.14,14.86,29.72,0,173.23,0.04,0.02,1.24,1.33,0.01,0,0,2.53,0,0,0.03,7.32,7.32,3.85,0.07,12.48,0,0.02,0,0,0.81,6.33,0.07,0.68,15,34.49,0.3,17.88,0.15,0.01,0.04,0,0,3.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Rice Salad,1,Serving,222.5,419.37,172.99,23.18,13.16,54.03,7.96,0.73,8.16,2.11,0.43,37.9,19.41,2.58,9.26,4.51,0,1.66,118.42,10405.78,445.69,891.37,0,3593.47,0.25,0.12,3.73,4.97,0.36,0,0.31,55.72,0,0,1.76,66.82,66.82,59.63,0.85,145.71,0.08,0.25,--,0.06,3.14,91.7,1.07,5.49,192.14,557.97,4.68,756.01,1.82,0.11,0.29,0,0,16.91
"    rice, wild, dry",0.041667,Pound,18.9,67.47,1.84,0.27,2.78,14.16,1.17,--,0.47,--,--,12.51,0.2,0.03,0.03,0.13,0,0,1.47,3.59,0.18,0.36,0,2.08,0.02,0.05,1.27,1.84,0.07,0,--,0,0,0,0.15,17.95,17.95,0.36,0.2,3.97,--,0.1,--,--,0.37,33.45,0.25,--,81.84,80.7,0.53,1.32,1.13,0.06,0.07,0,0,6.61
"    squash, butternut, fresh, cubes",2.875,Ounce-weight,81.5,36.68,0.73,0.15,0.82,9.53,1.63,--,1.79,1.61,0.18,6.1,0.08,0.02,0.01,0.03,0,0,70.43,8663.97,433.2,866.4,0,3444.4,0.08,0.02,0.98,1.17,0.13,0,--,17.12,0,0,1.17,22.01,22.01,0.9,0.33,39.12,--,0.06,--,--,0.57,27.71,0.16,4.08,26.9,286.9,0.41,3.26,0.12,0.02,0.01,0,0,--
"    pistachios, dry roasted, halves & pieces, unsalted",0.9375,Ounce-weight,26.58,150.61,111.63,11.96,5.32,7.09,2.66,--,1.77,--,--,2.66,12.4,1.33,6.2,3.54,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,1.06,--,--,--,--,--,--,--,35.44,--,--,--,--,0.96,--,--,--,--,--,--,8.86,--,--,--,0,0,--
"    pomegranate, fresh, arils seeds & juice",0.291667,Ounce-weight,8.27,6.86,0.87,0.09,0.14,1.55,0.33,0.07,1.13,--,--,0.09,0.1,0.01,0.01,0.01,0,0,6.44,0,0,0,0,0,0.01,0,0.02,0.02,0.01,0,--,0.84,0,0,0.05,3.14,3.14,1.36,0.03,0.83,--,0.01,--,--,0.02,0.99,0.01,--,2.98,19.51,0.04,0.25,0.03,0,0.01,0,0,0.63
"    scallions, fresh, tops & bulb, chopped",0.114583,Ounce-weight,3.25,1.04,0.06,0.01,0.06,0.24,0.08,0.03,0.08,--,--,0.08,0.01,0,0,0,0,0,2.92,32.39,1.62,3.24,0,19.43,0,0,0.02,0.03,0,0,0.11,0.61,0,0,0.02,2.08,2.08,6.72,0,2.34,--,0,--,0.06,0.05,0.65,0.01,--,1.2,8.97,0.02,0.52,0.01,0,0,0,0,0.19
"    vinegar, red wine",0.046875,Cup,11.17,2.12,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0,--,10.56,0,0,0,--,--,--,--,--,--,--,--,--,0.06,--,--,--,--,--,--,--,0.67,--,0,--,--,0.05,0.45,0.01,--,0.89,4.36,--,0.89,0,0,0,0,0,--
"    oil, olive, pure",0.28125,Tablespoon,3.94,33.75,33.75,5.06,0,0,0,0,0,0,0,0,3.94,0.56,2.81,0.56,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,0,0,0,--,--,0,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--
"    sugar, date",0.09375,Tablespoon,1.13,2.81,0,0,0,0.84,0,0,0.84,--,--,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,0,--
"    brussels sprouts, fresh",0.0625,Pound,28.35,12.19,0.77,0.16,0.96,2.54,1.08,0.57,0.62,0.49,0.13,0.84,0.09,0.02,0.01,0.04,0,0,24.38,213.76,10.69,21.38,0,127.57,0.04,0.03,0.21,0.39,0.06,0,--,24.1,0,0,0.25,17.29,17.29,50.18,0.09,11.91,--,0.02,--,--,0.4,6.52,0.1,1.42,19.56,110.28,0.45,7.09,0.12,0.03,0.01,0,0,5.41
"    rice, brown, dry, long grain",0.041667,Pound,18.9,69.36,5.44,1.01,1.43,14.41,0.68,0.07,0.12,0,0.12,13.61,0.6,0.11,0.2,0.19,0,0,2.23,0,0,0,0,0,0.1,0.02,1.23,1.53,0.09,0,0.2,0,0,0,0.11,4.35,4.35,0.11,0.2,1.7,0.08,0.06,--,--,0.24,21.92,0.54,--,58.78,47.25,3.23,0.94,0.4,0.01,0.18,0,0,4.06
"    salad, tuscan kale, food service",0.041667,Pound,18.9,36.47,17.9,4.48,1.66,3.65,0.33,--,1.33,--,--,1.99,1.99,0.5,--,--,0,1.66,--,1492.08,--,--,--,--,--,--,--,--,--,--,--,11.94,--,--,--,--,--,--,--,49.74,--,--,--,--,0.48,--,--,--,--,--,--,109.42,--,--,--,0,0,--
"    sea salt, california",0.056875,Ounce-weight,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,623.45,--,0,0,0,0,--
Total,1,Serving,222.5,419.37,172.99,23.18,13.16,54.03,7.96,0.73,8.16,2.11,0.43,37.9,19.41,2.58,9.26,4.51,0,1.66,118.42,10405.78,445.69,891.37,0,3593.47,0.25,0.12,3.73,4.97,0.36,0,0.31,55.72,0,0,1.76,66.82,66.82,59.63,0.85,145.71,0.08,0.25,--,0.06,3.14,91.7,1.07,5.49,192.14,557.97,4.68,756.01,1.82,0.11,0.29,0,0,16.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Alfredo,1,Serving,291.19,202.98,81.03,13.54,9.86,23.24,6.46,0.9,6.64,1.83,2.19,10.14,9.05,1.5,5.37,1.42,0,0,166.42,2128.22,106.41,212.82,0,557.86,1.99,1.61,8.44,9.32,1.28,2.63,3.49,89.13,0,0,0.49,101.56,101.56,28.23,1.12,80.58,0.09,0.15,0.01,0,2.68,42.88,0.63,8.39,141.59,554.56,4.22,762.95,1.22,0.1,0.38,0,0,52.33
"    cauliflower florets, fresh",2.92,Ounce-weight,82.78,20.7,2.09,0.97,1.59,4.11,1.66,0.6,1.58,1.58,0,0.88,0.23,0.11,0.03,0.03,0,0,76.22,0,0,0,0,0,0.04,0.05,0.42,0.7,0.15,0,1.41,39.9,0,0,0.07,47.18,47.18,12.83,0.55,18.21,0,0.03,0,0,0.35,12.42,0.13,4.14,36.42,247.51,0.5,24.83,0.22,0.01,0.01,0,0,36.67
"    garlic cloves, fresh",0.3,Ounce-weight,8.5,12.67,0.38,0.07,0.54,2.81,0.18,0,0.09,0,0,2.55,0.04,0.01,0,0.02,0,0,4.98,0.77,0.04,0.08,0,0.43,0.02,0.01,0.06,0.15,0.11,0,0,2.65,0,0,0.01,0.26,0.26,0.14,0.05,15.39,0,0.03,0,0,0.14,2.13,0.14,0,13.01,34.1,1.21,1.45,0.1,0,0.02,0,0,1.97
    nutritional yeast,0.6,Tablespoon,2.25,8.69,0.89,0.14,1.14,0.81,0.46,0,0,0,0,0.35,0.1,0.02,0.06,0,0,0,0,0,0,0,0,0,1.78,1.46,6.91,6.91,0.89,2.63,2.07,0,0,0,0,0,0,0,0.03,0.9,0,0,0,0,0.12,3.33,0.02,0,19.4,39.6,0,3.92,0.29,0,0,0,0,0
"    lemon juice, fresh",0.1,Fluid ounce,3.05,0.67,0.07,0.01,0.01,0.21,0.01,0,0.08,0.06,0.01,0.12,0.01,0,0,0,0,0,2.82,0.18,0.01,0.02,0,0.03,0,0,0,0,0,0,0.01,1.18,0,0,0,0.61,0.61,0,0,0.18,0,0,0,0,0,0.18,0,0,0.24,3.14,0,0.03,0,0,0,0,0,0.16
    onion powder,0.4,Teaspoon,0.96,3.27,0.09,0.02,0.1,0.76,0.15,0,0.06,0.03,0.04,0.55,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.22,0,0,0,0.61,0.61,0.04,0.01,3.69,0,0.01,0,0,0.04,1.08,0.01,0,3.09,9.46,0.14,0.7,0.04,0,0,0,0,0.37
    garlic powder,0.4,Teaspoon,1.24,4.1,0.08,0.03,0.21,0.9,0.11,0,0.03,0,0.03,0.76,0.01,0,0,0,0,0,0.08,0,0,0,0,0,0.01,0,0.01,0.03,0.02,0,0,0.01,0,0,0.01,0.58,0.58,0,0.01,0.98,0,0.01,0,0,0.07,0.95,0.01,0,5.13,14.79,0.3,0.74,0.04,0,0,0,0,0.84
"    black pepper, ground",0.02,Ounce-weight,0.57,1.42,0.17,0.07,0.06,0.36,0.14,0,0,0,0,0.22,0.02,0.01,0,0.01,0,0,0.07,3.1,0.16,0.31,0,1.76,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0.1,0.1,0.93,0.01,2.51,0.09,0.01,0,0,0.06,0.97,0.07,0,0.9,7.54,0.03,0.11,0.01,0,0,0,0,0.06
"    peas, green, frozen",1.6,Ounce-weight,45.36,34.93,1.63,0.27,2.37,6.18,2.04,0.19,2.27,0.15,2.12,1.87,0.18,0.03,0.01,0.08,0,0,36.28,933.49,46.67,93.35,0,555.65,0.12,0.05,0.78,1.05,0.04,0,0,8.16,0,0,0.01,24.04,24.04,12.66,0.25,9.98,0,0.06,0,0,0.69,11.79,0.15,2.27,37.19,69.4,0.86,48.99,0.37,0.01,0.06,0,0,12.25
"    broccoli florets, fresh",1.4,Ounce-weight,39.69,11.11,1.25,0.19,1.18,2.01,0.91,0.1,0.59,0,0,0.51,0.14,0.02,0.01,0.07,0,0,35.99,1190.68,59.53,119.07,0,0,0.03,0.05,0.25,0.45,0.06,0,0,36.99,0,0,0,28.18,28.18,0,0.21,19.05,0,0.02,0,0,0.35,9.92,0.09,1.98,26.19,128.99,1.19,10.72,0.16,0.05,0.02,0,0,0
"    oil, olive",0.2,Tablespoon,2.7,23.87,23.87,3.36,0,0,0,0,0,0,0,0,2.7,0.37,1.97,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,1.63,0,0.03,0,0,0,0,0.02,0,0,0,0,0.03,0,0.05,0,0.02,0.26,0,0,0.01
"        cashews, raw, whole",0.462,Ounce-weight,13.1,74.84,50.52,8.42,2.34,3.74,0.47,0,0.94,0,0,2.34,5.61,0.94,3.27,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0.84,0,0,0,0,0,0,2.34,0,0,0,0,0,0
