Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
"    chickpeas, dry",1.42,Ounce-weight,40.26,152.17,21.88,2.18,8.24,25.34,4.91,1.77,4.31,0,0,16.12,2.43,0.24,0.55,1.1,0,0,3.09,26.97,1.35,2.7,0,16.1,0.19,0.09,0.62,1.96,0.22,0,0,1.61,0,0,0.33,224.23,224.23,3.62,0.64,22.95,0,0.26,0,0,1.74,31.8,8.58,0,101.45,289.04,0,9.66,1.11,0.04,1.06,0,0,39.97
"    broccoli rabe, fresh",0.91,Ounce-weight,25.8,5.68,1.14,0.12,0.82,0.74,0.64,0,0.09,0,0,0,0.13,0.01,0.01,0.03,0,0,23.88,0,33.8,0,0,405.8,0.04,0.03,0.31,0.31,0.04,0,0,5.21,0,0,0.42,21.41,21.41,57.79,0,27.86,0,0.01,0,0,0.55,5.68,0,0,18.83,50.56,0.26,8.51,0.2,0.03,0,0,0,4.72
"    zucchini, fresh, with skin",1.93,Ounce-weight,54.71,9.3,1.58,0.41,0.66,1.7,0.49,0.05,1.22,1.19,0.02,0,0.18,0.05,0.01,0.05,0,0,51.86,109.43,5.47,10.94,0,65.66,0.02,0.05,0.25,0.34,0.09,0,0,9.79,0,0,0.07,13.13,13.13,2.35,0.11,8.75,0,0.03,0,0,0.2,9.85,0.1,6.57,20.79,142.81,0.11,4.38,0.18,0.03,0.02,0,0,5.2
"    cauliflower florets, fresh",0.085,Pound,38.56,9.64,0.97,0.45,0.74,1.92,0.77,0.28,0.74,0.74,0,0.41,0.11,0.05,0.01,0.01,0,0,35.5,0,0,0,0,0,0.02,0.02,0.2,0.32,0.07,0,0.66,18.58,0,0,0.03,21.98,21.98,5.98,0.26,8.48,0,0.02,0,0,0.16,5.78,0.06,1.93,16.96,115.28,0.23,11.57,0.1,0.01,0.01,0,0,17.08
"    bell pepper, fresh",1.02,Ounce-weight,28.92,5.82,0,0,0.26,1.32,0.49,0,0.71,0,0,0.12,0,0,0,0,0,0,0,105.79,5.29,10.58,0,0,0,0,0,0,0,0,0,23.27,0,0,0,0,0,0,0,3.53,0,0,0,0,0.1,0,0,0,0,0,0,0.88,0,0,0,0,0,0
"    garlic cloves, fresh",0.07,Ounce-weight,1.98,2.96,0.09,0.02,0.13,0.66,0.04,0,0.02,0,0,0.59,0.01,0,0,0,0,0,1.16,0.18,0.01,0.02,0,0.1,0,0,0.01,0.04,0.02,0,0,0.62,0,0,0,0.06,0.06,0.03,0.01,3.59,0,0.01,0,0,0.03,0.5,0.03,0,3.04,7.96,0.28,0.34,0.02,0,0,0,0,0.46
"    onion, yellow, fresh, chopped",1.19,Ounce-weight,33.74,13.49,0.3,0.13,0.37,3.15,0.57,0,1.43,1.1,0.33,1.15,0.03,0.01,0,0.01,0,0,30.06,0.67,0.03,0.07,0,0.34,0.02,0.01,0.04,0.12,0.04,0,1.18,2.5,0,0,0.01,6.41,6.41,0.13,0.04,7.76,0,0.01,0,0.67,0.07,3.37,0.04,1.69,9.78,49.25,0.17,1.35,0.06,0,0,0,0,2.06
"    tomatoes, crushed, canned, unsalted, food service",2.38,Ounce-weight,67.47,24.54,0,0,1.12,5.02,1.67,0,1.67,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,0,0,0
    Euphebe Organic Vegetable Stock,0.4225,Cup,95.75,8.09,0,0,0.4,1.62,0.4,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    oregano, dried, leaves",0.04,Ounce-weight,1.13,3.01,0.44,0.16,0.1,0.78,0.48,0,0.05,0.04,0.01,0.25,0.05,0.02,0.01,0.02,0,0,0.11,19.29,0.96,1.93,0,11.42,0,0.01,0.05,0.09,0.01,0,0,0.03,0,0,0.21,2.69,2.69,7.05,0.01,18.11,0,0.01,0,0,0.42,3.06,0.06,0,1.68,14.29,0.05,0.28,0.03,0.01,0.01,0,0,0.37
"    spinach, baby, fresh",1.19,Ounce-weight,33.74,7.94,0,0,0.79,1.19,0.79,0,0,0,0,0.4,0,0,0,0,0,0,0,2182.91,109.15,218.29,0,0,0,0,0,0,0,0,0,9.53,0,0,0,63.5,0,161.93,0,31.75,0,0,0,0,1.07,23.81,0.32,0,0,0,0,25.8,0,0,0,0,0,0
    pine nuts,0.36,Ounce-weight,10.21,72,58.32,12.96,1.08,1.8,1.44,0,0,0,0,0.36,6.48,1.44,0,0,0,0,0,144,7.2,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,3.6,0,0,0,0,0,0
"    black pepper, ground",0.04,Ounce-weight,1.13,2.85,0.33,0.14,0.12,0.73,0.29,0,0.01,0.01,0,0.43,0.04,0.02,0.01,0.01,0,0,0.14,6.2,0.31,0.62,0,3.52,0,0,0.01,0.02,0,0,0,0,0,0,0.01,0.19,0.19,1.86,0.02,5.02,0.18,0.02,0,0,0.11,1.94,0.14,0,1.79,15.07,0.06,0.23,0.01,0,0.01,0,0,0.13
"    lemon juice, fresh",0.36,Fluid ounce,10.98,2.42,0.24,0.04,0.04,0.76,0.03,0.02,0.28,0.23,0.05,0.45,0.03,0,0,0,0,0,10.14,0.66,0.03,0.07,0,0.11,0,0,0.01,0.01,0.01,0,0.03,4.25,0,0,0.02,2.2,2.2,0,0.01,0.66,0,0,0,0,0.01,0.66,0,0,0.88,11.31,0.01,0.11,0.01,0,0,0,0,0.56
    sea salt,0.061,ounce-weight,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.67,,,,,,
Total,1,Serving,469.92,401.09,88.8,16.85,20.88,60.76,17.39,2.11,11.72,3.3,0.42,21.96,9.87,1.87,0.62,1.49,0,0,158.52,2601.59,163.87,260.16,0,503.04,0.37,0.27,1.85,4.6,0.57,0,1.87,75.39,0,0,1.09,407.23,343.73,240.75,1.32,171.33,0.18,0.6,0,0.67,6.91,150.04,9.69,10.18,265.46,929.66,3.12,766.73,2.52,0.36,1.13,0,0,70.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zia Lina Sugo,1,Serving,325.99,164.89,32.44,4.13,6.15,27.35,7.37,0,12.35,0.98,0.3,7.62,3.66,0.46,2.36,0.34,0,0,112.86,3374.01,168.7,337.4,0,0.3,0.01,0.01,0.04,0.11,0.04,0,1.06,7.6,0,0,0.47,5.74,5.74,2.06,0.04,27.09,0,0.01,0,0.6,2.05,3.02,0.04,1.51,8.76,186.34,0.15,762.57,0.05,0.03,0.32,0,0,1.85
"    onion, white, fresh, chopped",1.06522,Ounce-weight,30.2,12.08,0.27,0.11,0.33,2.82,0.51,0,1.28,0.98,0.3,1.03,0.03,0.01,0,0.01,0,0,26.91,0.6,0.03,0.06,0,0.3,0.01,0.01,0.04,0.11,0.04,0,1.06,2.23,0,0,0.01,5.74,5.74,0.12,0.04,6.95,0,0.01,0,0.6,0.06,3.02,0.04,1.51,8.76,44.09,0.15,1.21,0.05,0,0,0,0,1.84
"    garlic, minced",0.065217,Ounce-weight,1.85,5.55,1.66,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    oil, olive",0.23913,Tablespoon,3.23,28.54,28.54,4.01,0,0,0,0,0,0,0,0,3.23,0.45,2.36,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,1.94,0,0.03,0,0,0,0,0.02,0,0,0,0,0.03,0,0.06,0,0.02,0.32,0,0,0.01
"    carrots, fresh",1.56522,Ounce-weight,44.37,17.07,0,0,0.57,3.98,1.14,0,2.84,0,0,0,0,0,0,0,0,0,39.39,3128.88,156.44,312.89,0,0,0,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,11.38,0,0,0,0,0.2,0,0,0,0,142.22,0,34.13,0,0,0,0,0,0
"    tomatoes, crushed, canned, unsalted, food service",0.358696,Pound,162.7,59.16,0,0,2.69,12.1,4.03,0,4.03,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.79,0,0,0,0,0,0
"    tomato sauce, canned, no salt added, organic",1.78261,Ounce-weight,50.54,16.3,0,0,0.82,4.08,0.82,0,2.45,0,0,0.82,0,0,0,0,0,0,45.3,244.53,12.23,24.45,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,24.45,0,0,0,0,0,0
"    peas, green, dry",1.1087,Ounce-weight,31.43,26.19,1.96,0,1.75,4.37,0.87,0,1.75,0,0,1.75,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73,0,0,0,0,1.18,0,0,0,0,0,0,2.18,0,0,0,0,0,0
    sea salt,0.059,ounce-weight,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.75,,,,,,
Total,1,Serving,325.99,164.89,32.44,4.13,6.15,27.35,7.37,0,12.35,0.98,0.3,7.62,3.66,0.46,2.36,0.34,0,0,112.86,3374.01,168.7,337.4,0,0.3,0.01,0.01,0.04,0.11,0.04,0,1.06,7.6,0,0,0.47,5.74,5.74,2.06,0.04,27.09,0,0.01,0,0.6,2.05,3.02,0.04,1.51,8.76,186.34,0.15,762.57,0.05,0.03,0.32,0,0,1.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Lentil Penne,1,Serving,85.05,320.4,0,0,21.6,52.8,10.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Lentil Penne,3,Ounce-weight,85.05,320.4,0,0,21.6,52.8,10.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1,Serving,85.05,320.4,0,0,21.6,52.8,10.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunch Thyme Grain Bowl,1,Serving,217.06,449.83,104.99,16.55,17.75,73.44,11.79,2.24,10.7,0.92,0.28,21.36,11.83,1.84,6.97,1.43,0,0,102.73,221.71,48.23,22.17,0,557.62,0.38,0.38,6.87,9.47,0.41,0.04,0.99,18.09,1.06,0.04,1.94,204.28,204.28,88.58,1.3,192.74,0.08,0.88,0,0.57,7.82,127.1,1.33,1.96,268.13,1650.29,16.38,760.2,2.57,0.18,1.24,0,0,62.1
"    rice, brown",1.41346,Ounce-weight,40.07,148.28,11.2,2.64,3.47,30.85,1.37,0,0,0,0,0,1.24,0.29,0,0,0,0,0,20.24,1.01,2.03,0,0,0,0,3.17,3.17,0,0,0,0.04,0,0,0,0,0,0,0,7.85,0,0,0,0,0.31,0,0,0,0,0,0,6,0,0,0,0,0,0
"    beans, white, dry",1.33654,Ounce-weight,37.89,126.17,2.9,0.75,8.85,22.84,5.76,1.66,0.8,0,0,16.28,0.32,0.08,0.03,0.14,0,0,4.29,0,0,0,0,0,0.17,0.06,0.18,1.93,0.12,0,0,0,0,0,0.08,147.01,147.01,2.12,0.28,90.94,0,0.37,0,0,3.96,71.99,0.68,0,114.05,680.13,4.85,6.06,1.39,0.06,0.08,0,0,25.08
"    rosemary, dried",0.016827,Ounce-weight,0.48,1.58,0.65,0.32,0.02,0.31,0.2,0,0.01,0,0,0,0.07,0.04,0.01,0.01,0,0,0.04,14.92,0.75,1.49,0,0,0,0,0,0,0.01,0,0,0.29,0,0,0,1.46,1.46,0,0,6.11,0,0,0,0,0.14,1.05,0.01,0,0.33,4.56,0.02,0.24,0.02,0.01,0.01,0,0,0
"    onion, yellow, fresh, chopped",0.0625,Pound,28.35,11.34,0.26,0.11,0.31,2.65,0.48,0,1.2,0.92,0.28,0.96,0.03,0.01,0,0,0,0,25.26,0.57,0.03,0.06,0,0.28,0.01,0.01,0.03,0.1,0.03,0,0.99,2.1,0,0,0.01,5.39,5.39,0.11,0.03,6.52,0,0.01,0,0.57,0.06,2.83,0.04,1.42,8.22,41.39,0.14,1.13,0.05,0,0,0,0,1.73
"    broccoli rabe, fresh",0.0625,Pound,28.35,6.24,1.25,0.13,0.9,0.81,0.71,0,0.1,0,0,0,0.14,0.01,0.01,0.04,0,0,26.24,0,37.14,0,0,445.94,0.05,0.04,0.35,0.35,0.05,0,0,5.73,0,0,0.46,23.53,23.53,63.5,0,30.62,0,0.01,0,0,0.61,6.24,0,0,20.7,55.57,0.28,9.36,0.22,0.03,0,0,0,5.19
"    tomatoes, sundried",0.663462,Ounce-weight,18.81,48.53,5.03,0.72,2.65,10.49,2.31,0.58,7.07,0,0,1.1,0.56,0.08,0.09,0.21,0,0,2.74,164.39,8.22,16.44,0,98.56,0.1,0.09,1.7,2.03,0.06,0,0,7.37,0,0,0,12.79,12.79,8.09,0.39,20.69,0,0.27,0,0,1.71,36.49,0.35,0,66.96,644.58,1.03,20.13,0.37,0,0.21,0,0,19.67
"    mushrooms, crimini, fresh",1.25,Ounce-weight,35.44,7.8,0.32,0.04,0.89,1.52,0.21,0,0.61,0,0,0.7,0.04,0,0,0.01,0,0,32.64,0,0,0,0,0,0.03,0.17,1.35,1.68,0.04,0.04,0,0,1.06,0.04,0,8.86,8.86,0,0.53,6.38,0,0.18,0,0,0.14,3.19,0.05,0,42.52,158.76,9.21,2.13,0.39,0,0.01,0,0,7.83
"    garlic cloves, fresh",0.163462,Ounce-weight,4.63,6.9,0.21,0.04,0.29,1.53,0.1,0,0.05,0,0,1.39,0.02,0,0,0.01,0,0,2.71,0.42,0.02,0.04,0,0.23,0.01,0.01,0.03,0.08,0.06,0,0,1.45,0,0,0,0.14,0.14,0.08,0.03,8.39,0,0.01,0,0,0.08,1.16,0.08,0,7.09,18.58,0.66,0.79,0.05,0,0.01,0,0,1.08
"    shallots, fresh, chopped",0.024038,Pound,10.9,7.85,0.1,0.02,0.27,1.83,0.35,0,0.86,0,0,0.62,0.01,0,0,0,0,0,8.7,0.44,0.02,0.04,0,0.33,0.01,0,0.02,0.07,0.04,0,0,0.87,0,0,0,3.71,3.71,0.09,0.03,4.03,0,0.01,0,0,0.13,2.29,0.03,0.55,6.54,36.42,0.13,1.31,0.04,0,0,0,0,1.23
"    thyme, dried, leaves",0.016827,Ounce-weight,0.48,1.32,0.32,0.12,0.04,0.31,0.18,0,0.01,0,0,0.12,0.04,0.01,0,0.01,0,0,0.04,18.13,0.91,1.81,0,10.8,0,0,0.02,0.04,0,0,0,0.24,0,0,0.04,1.31,1.31,8.18,0,9.02,0,0,0,0,0.59,1.05,0.04,0,0.96,3.88,0.02,0.26,0.03,0,0,0,0,0.21
"    black pepper, ground",0.016827,Ounce-weight,0.48,1.2,0.14,0.06,0.05,0.31,0.12,0,0,0,0,0.18,0.02,0.01,0,0,0,0,0.06,2.61,0.13,0.26,0,1.48,0,0,0.01,0.01,0,0,0,0,0,0,0,0.08,0.08,0.78,0.01,2.11,0.08,0.01,0,0,0.05,0.82,0.06,0,0.75,6.34,0.02,0.1,0.01,0,0,0,0,0.05
"    oil, olive",0.346154,Fluid ounce,9.35,82.62,82.62,11.61,0,0,0,0,0,0,0,0,9.35,1.29,6.82,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,5.63,0,0.09,0,0,0,0,0.05,0,0,0,0,0.09,0,0.19,0,0.07,0.91,0,0,0.03
    sea salt,0.065,ounce-weight,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.52,,,,,,
Total,1,Serving,217.06,449.83,104.99,16.55,17.75,73.44,11.79,2.24,10.7,0.92,0.28,21.36,11.83,1.84,6.97,1.43,0,0,102.73,221.71,48.23,22.17,0,557.62,0.38,0.38,6.87,9.47,0.41,0.04,0.99,18.09,1.06,0.04,1.94,204.28,204.28,88.58,1.3,192.74,0.08,0.88,0,0.57,7.82,127.1,1.33,1.96,268.13,1650.29,16.38,760.2,2.57,0.18,1.24,0,0,62.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veggie Spanakopita,1,Serving,384.08,163.37,56.38,7.42,8.72,21.16,8.22,0.37,9.18,8.42,0.72,3.65,6.35,0.82,3.42,0.76,0,0,342.38,18495.06,924.75,1849.51,0,11072.01,0.27,0.43,2.39,5.25,0.56,0,4,52.78,0,0,6.39,276.4,276.4,620.47,0.81,251.98,0.33,0.44,0,0.71,4.56,148.12,1.4,6.69,147,1100.82,10.05,385.96,1.38,0.17,0.59,0,0,72.28
"    spinach, frozen, leaf",5.33051,Ounce-weight,151.12,43.82,7.75,0.56,5.49,6.36,4.38,0,0.98,0.63,0.36,1,0.86,0.06,0,0.12,0,0,136.26,17720.02,886,1772,0,10631.11,0.14,0.34,0.77,3.14,0.26,0,0,8.31,0,0,4.38,219.12,219.12,562.16,0.14,194.94,0,0.22,0,0,2.86,113.34,1.06,0,74.05,522.87,9.07,111.83,0.85,0.12,0,0,0,33.4
"    tomatoes, cherry, red, fresh, year round average",1.66949,Ounce-weight,47.33,8.52,0.85,0.12,0.42,1.84,0.57,0,1.24,1.24,0,0.03,0.09,0.01,0.01,0.04,0,0,44.74,394.25,19.71,39.43,0,212.51,0.02,0.01,0.28,0.33,0.04,0,1.89,6.48,0,0,0.26,7.1,7.1,3.74,0.04,4.73,0.33,0.03,0,0,0.13,5.21,0.05,2.37,11.36,112.17,0,2.37,0.08,0,0.04,0,0,3.17
"    onion, white, fresh, chopped",1.25424,Ounce-weight,35.56,14.22,0.32,0.13,0.39,3.32,0.6,0,1.51,1.16,0.35,1.21,0.04,0.01,0,0.01,0,0,31.68,0.71,0.04,0.07,0,0.36,0.02,0.01,0.04,0.12,0.04,0,1.24,2.63,0,0,0.01,6.76,6.76,0.14,0.04,8.18,0,0.01,0,0.71,0.07,3.56,0.05,1.78,10.31,51.91,0.18,1.42,0.06,0,0,0,0,2.17
"    garlic, minced",0.135593,Ounce-weight,3.84,11.53,3.46,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    tomatoes, crushed, canned",0.182203,Pound,82.65,26.45,2.08,0.3,1.36,6.02,1.57,0,3.64,3.61,0.02,0.82,0.23,0.03,0.04,0.09,0,0,73.92,177.69,8.88,17.77,0,106.61,0.06,0.04,1.01,1.18,0.12,0,0,7.6,0,0,1.03,10.74,10.74,4.38,0.23,28.1,0,0.15,0,0,1.07,16.53,0.15,0,26.45,242.15,0.5,153.72,0.22,0,0.09,0,0,10.66
"    vinegar, balsamic",0.021186,Cup,5.42,4.77,0,0,0.03,0.92,0,0,0.81,0.81,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0.04,0.65,0.01,0,1.03,6.07,0,1.25,0,0,0,0,0,0
"    oil, olive",0.169492,Fluid ounce,4.58,40.45,40.45,5.69,0,0,0,0,0,0,0,0,4.58,0.63,3.34,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,2.75,0,0.05,0,0,0,0,0.03,0,0,0,0,0.05,0,0.09,0,0.03,0.45,0,0,0.01
"    parsley, fresh, sprigs",0.084746,Ounce-weight,2.4,0.86,0.17,0.03,0.07,0.15,0.08,0,0.02,0,0,0.05,0.02,0,0.01,0,0,0,2.11,202.39,10.12,20.24,0,121.42,0,0,0.03,0.05,0,0,0,3.2,0,0,0.02,3.65,3.65,39.4,0.01,3.32,0,0,0,0,0.15,1.2,0,0,1.39,13.31,0,1.35,0.03,0,0,0,0,0.31
"    cauliflower florets, fresh",1.79661,Ounce-weight,50.93,12.73,1.28,0.6,0.98,2.53,1.02,0.37,0.97,0.97,0,0.54,0.14,0.07,0.02,0.02,0,0,46.89,0,0,0,0,0,0.03,0.03,0.26,0.43,0.09,0,0.87,24.55,0,0,0.04,29.03,29.03,7.89,0.34,11.21,0,0.02,0,0,0.21,7.64,0.08,2.55,22.41,152.29,0.31,15.28,0.14,0.01,0.01,0,0,22.56
    sea salt,0.009,ounce-weight,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.66,,,,,,
Total,1,Serving,384.08,163.37,56.38,7.42,8.72,21.16,8.22,0.37,9.18,8.42,0.72,3.65,6.35,0.82,3.42,0.76,0,0,342.38,18495.06,924.75,1849.51,0,11072.01,0.27,0.43,2.39,5.25,0.56,0,4,52.78,0,0,6.39,276.4,276.4,620.47,0.81,251.98,0.33,0.44,0,0.71,4.56,148.12,1.4,6.69,147,1100.82,10.05,385.96,1.38,0.17,0.59,0,0,72.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickpea Toast,1,Serving,146.3,127.64,23.15,2.66,7.42,18.28,3.96,0,4,1.09,0,10.32,2.58,0.3,0.91,0.88,0,0,116.6,860.05,43,86,0,447.14,1.9,1.49,7.56,7.62,1.09,2.6,2.04,34.59,0,0,0.74,129.77,129.77,4.4,0.28,118.39,0.03,0.26,0.06,0.27,1.67,82.43,0.52,1.35,112.06,328.61,2.27,25.74,1.12,0.04,0.84,0,0,1.58
"    chickpea flour, besan",0.291667,Cup,26.83,103.85,16.16,1.67,6.01,15.52,2.9,0,2.91,0,0,9.71,1.8,0.19,0.4,0.8,0,0,2.76,11,0.55,1.1,0,6.71,0.13,0.03,0.47,0.47,0.13,0,0,0,0,0,0.22,117.26,117.26,2.44,0.16,12.08,0,0.24,0,0,1.3,44.54,0.43,0,85.33,227.01,2.23,17.17,0.75,0.03,0.77,0,0,0
"    water, tap",3,Fluid ounce,88.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0.01,0.06,0,0,0.89,0,0,0,0,0,3.55,0.01,0,0,0,0,0
    nutritional yeast,0.037037,Cup,2.22,8.58,0.88,0.14,1.12,0.8,0.46,0,0,0,0,0.34,0.1,0.02,0.06,0,0,0,0,0,0,0,0,0,1.75,1.44,6.82,6.82,0.88,2.6,2.04,0,0,0,0,0,0,0,0.03,0.89,0,0,0,0,0.12,3.29,0.02,0,19.16,39.11,0,3.87,0.28,0,0,0,0,0
    baking powder,0.166667,Teaspoon,0.5,0.83,0,0,0,0.17,0,0,0,0,0,0.17,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.06,30,0,0,0,1.29,0,0,0,0,0,0,0,0
"    black pepper, ground",0.069444,Teaspoon,0.16,0.4,0.05,0.02,0.02,0.1,0.04,0,0,0,0,0.06,0.01,0,0,0,0,0,0.02,0.87,0.04,0.09,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.26,0,0.71,0.03,0,0,0,0.02,0.27,0.02,0,0.25,2.12,0.01,0.03,0,0,0,0,0,0.02
"    turmeric, ground",0.041667,Teaspoon,0.09,0.29,0.03,0.02,0.01,0.06,0.02,0,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.01,0,0.15,0,0,0,0,0.05,0.19,0.02,0,0.27,1.91,0.01,0.02,0,0,0,0,0,0.05
"    bell pepper, red, fresh, chopped",0.955556,Ounce-weight,27.09,8.4,0.73,0.07,0.27,1.63,0.54,0,1.09,1.09,0,0,0.08,0.01,0,0.02,0,0,24.98,848.17,42.41,84.82,0,439.93,0.01,0.02,0.27,0.32,0.08,0,0,34.59,0,0,0.43,12.46,12.46,1.33,0.09,1.9,0,0,0,0.27,0.12,3.25,0.03,1.35,7.04,57.16,0.03,1.08,0.07,0.01,0.01,0,0,1.52
"    oil, olive",0.022222,Fluid ounce,0.6,5.3,5.3,0.75,0,0,0,0,0,0,0,0,0.6,0.08,0.44,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.36,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.06,0,0,0
Total,1,Serving,146.3,127.64,23.15,2.66,7.42,18.28,3.96,0,4,1.09,0,10.32,2.58,0.3,0.91,0.88,0,0,116.6,860.05,43,86,0,447.14,1.9,1.49,7.56,7.62,1.09,2.6,2.04,34.59,0,0,0.74,129.77,129.77,4.4,0.28,118.39,0.03,0.26,0.06,0.27,1.67,82.43,0.52,1.35,112.06,328.61,2.27,25.74,1.12,0.04,0.84,0,0,1.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive & Almond Crumble,1,Serving,48.94,189.13,147.23,7.55,4.67,7.92,2.76,0.33,1,0.11,0.89,4.16,16.36,0.84,6.96,2.72,0,0,2.54,0.54,0.03,0.05,0,0.24,0.05,0.25,0.8,1.53,0.03,0,14.12,0.66,0,0,5.65,10.04,10.04,0,0.11,59.42,0,0.23,0,0.44,0.82,59.64,0.48,6.5,106.19,163.37,0.91,351.5,0.69,0,2.72,0,0,11.57
"    olives, kalamata",0.888889,Ounce-weight,25.2,61.09,48.11,0,0,3.05,0,0,0,0,0,3.05,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.27,0,0,0,0,0,0
